track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,genre,duration_ms,num_artists,duration_mins,album_name,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_chill_opm_proba,genre_happy_opm_proba,genre_hugot_opm_proba,genre_sad_opm_proba
7g3ryXLtXExZ0OFCj17Ae1,Give Me Your Forever (ft. Billkin),"['67IN4cLJ7798gUapyZlmac', '2a727ekkPaUHk0bMifk7fj']","['Zack Tabudlo', 'Billkin']",38BPy1OGJ1aX8IYvveN3hv,,2022-01-27,53,0.601,0.439,8.0,-7.589,1.0,0.0269,0.0642,0.0,0.0942,0.275,99.976,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,244800.0,2.0,4.08,,0,chill_opm,0.6721083394368325,0.6721083394368325,0.0208287874814232,0.03881014095471216,0.2682527321270324
3tFzW7gAPX7FoNyv9DeFFU,Sorry,7aerdWadzubpu06Oxysg6R,Paolo Sandejas,2svPpmXSTAUIr7QW2oy1l3,,2020-09-18,0,0.654,0.326,1.0,-8.173,1.0,0.0302,0.475,1.3e-05,0.0884,0.3,119.911,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,288240.0,1.0,4.804,,0,chill_opm,0.5048475219348083,0.5048475219348083,0.03814090302135841,0.08929308422619617,0.367718490817637
7MOX9rPYtyOVUr1sG540xs,Titibo-Tibo,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,05rQadwAVYTpNNnBoeTuj0,,2018-02-19,12,0.815,0.377,10.0,-9.41,1.0,0.0663,0.856,0.000243,0.0872,0.789,119.659,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,202453.0,1.0,3.374216666666667,,0,chill_opm,0.6512464786463642,0.6512464786463642,0.20008365007735707,0.05798360498303291,0.09068626629324568
1vMr1ww8r97gGdnSILTIrx,Catch Me I'm Falling,5BAyYwbv8OSfqeXMjPgWX6,Toni Gonzaga,5Loa6NGEEHl1DMzyKIm8VN,,2007-01-01,8,0.566,0.489,3.0,-5.903,0.0,0.0281,0.173,0.0,0.106,0.0743,79.872,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,278282.0,1.0,4.6380333333333335,,0,chill_opm,0.4654794414448596,0.4654794414448596,0.00857536612022344,0.10113184890447305,0.4248133435304439
2FxgkPhG9EItAXzbNsnMhx,Say You'll Never Go,7ygtjsCTrCQZAYYPOne9uE,Erik Santos,0B0dwHubJ0krGSvnLReIOS,,2006-01-01,4,0.559,0.306,9.0,-12.869,1.0,0.0283,0.846,4.15e-05,0.102,0.13,134.01,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,281577.0,1.0,4.69295,,3,sad_opm,0.4462049218524629,0.38251758120798607,0.02976558873216358,0.14151190820738724,0.4462049218524629
1epLu7QUe1yZoTRXobXxsl,Very Special Love,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,57t7cxqzKuwknboRsHf2za,,2009-11-05,0,0.639,0.622,0.0,-5.72,1.0,0.0268,0.449,0.0,0.259,0.347,100.882,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,242533.0,1.0,4.042216666666667,,0,chill_opm,0.6533113944483248,0.6533113944483248,0.13449732825930713,0.09885896482643654,0.11333231246593146
6DDwb8zuXHp15AXgB1oO01,How Did You Know,0RHiqaoRCsFLPeEuj3OQz4,Gary Valenciano,0AOBVENYelUj7KLxSpJnKE,,2005-08-01,5,0.253,0.288,5.0,-10.674,1.0,0.0317,0.689,0.000378,0.079,0.0646,84.72,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,238236.0,1.0,3.9706,,3,sad_opm,0.5995884191368819,0.18507853339797053,0.004603457212889208,0.2107295902522582,0.5995884191368819
5XGw681EIobIGidnYCH0Kh,Ti'll My Heartaches End,00RJAkLnjGx4kVWVJbOJx1,Carol Banawa,3ssUlRpwJFo66gMNVEeCOm,,2010-01-01,4,0.579,0.432,5.0,-9.1,1.0,0.038,0.7,0.0,0.312,0.256,124.848,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,245162.0,1.0,4.086033333333333,,3,sad_opm,0.506592894799375,0.36712889156648126,0.006098147561562196,0.12018006607258161,0.506592894799375
1yzgPohrZWIERNKUOKbYrC,Nandito Pa (acoustic version ft. Laika Maninang),"['6X3hydoInpp3NXnkQ3V5L3', '20P1njUBEBStaQGtfbsPC9']","['Feel Day', 'Laika Maninang']",46f8elpXwgZhoORifcdWQ3,,2016-05-20,32,0.549,0.337,0.0,-10.306,1.0,0.034,0.835,2.51e-05,0.106,0.37,149.714,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,282600.0,2.0,4.71,,3,sad_opm,0.5160508343019794,0.3039620072240366,0.033946510843584535,0.1460406476303995,0.5160508343019794
2mn5o4dC90qh40fCH1VVR9,Bakit Ganyan Ka?,"['4mrrcDjpjUq27YEGwlisgs', '72VBk3SEsEFPF948CmkHT4']","['Gracenote', 'Chito Miranda']",6sSAjJBUpwobJGNJ7TVPdC,,2017-10-06,34,0.673,0.481,9.0,-8.369,1.0,0.128,0.401,0.0,0.162,0.74,84.907,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,205304.0,2.0,3.421733333333333,,0,chill_opm,0.8350369284240248,0.8350369284240248,0.07112397399494175,0.02926584586262006,0.06457325171841301
0rmYKRtgj3PHTPKAYnEyng,Ikaw Lang Sapat Na,4bOVj4CTZ1WzSIiWRG9b3n,Maris Racal,5O1U1ZUFhWsNrQbs9Eqgkl,,2018-05-04,0,0.432,0.474,7.0,-5.637,1.0,0.0392,0.244,0.0,0.13,0.55,78.668,2ElFshM939Cuowwqe19dzB,ERE o Kisame?  ~ Solid Pinoy,pinoy,224795.0,1.0,3.746583333333333,,0,chill_opm,0.6068165962785972,0.6068165962785972,0.061592646767605765,0.06237494552912815,0.2692158114246687
