name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Best of My Love,56,219933,6UjlpJhUqOQqv0hrb38IDI,64CuUOOirKmdAYLQSfaOyr,The Emotions,1,30OwtFBugzMGsAYhXzEBEP,1996,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
A Thousand Miles,0,237493,5y69gQtK33qxb8a24ACkCy,5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton,1,7D6BFTArx2ajtkKRVXIKO2,2002-04-30,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Together Forever,0,205533,76QJgXPE3oc1cnkE4PFHEn,0gxyHStUsqpMadRV0Di1Qt,Rick Astley,1,6N9PS4QXF1D0OWPk0Sxtb4,1987-11-12,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Never Gonna Give You Up,11,213573,4uLU6hMCjMI75M1A2tKUQC,0gxyHStUsqpMadRV0Di1Qt,Rick Astley,1,6N9PS4QXF1D0OWPk0Sxtb4,1987-11-12,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
"It Must Have Been Love - From the Film ""Pretty Woman""",80,258786,6kvoHl80mfCVTv7XnZkjQn,2SHhfs4BiDxGQ3oxqf0UHY,Roxette,1,3dWX1xFUaalRlaaVpe4EPF,1990-05-20,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Thank God I Found You,0,257293,26XozheKTFSXpGb917XBKG,"['4iHNK0tOyZPYnBU7nGAgpQ', '3zTOe1BtyTkwNvYZOxXktX', '6V03b3Y36lolYP2orXn8mV']","['Mariah Carey', 'Joe', '98º']",3,1LP5YqFfPu7OPZkbPlktqS,1999,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Listen to Your Heart - Swedish Single Edit,48,314893,2W4HHauPXqsxTGgCMwGwaq,2SHhfs4BiDxGQ3oxqf0UHY,Roxette,1,1nQK4dpultSS3YeHfYrgEW,2006-10-18,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Too Much Love Will Kill You - Remastered 2011,65,259213,0W1uTK6I97CbjFKAVtRGfK,1dfeR4HaWDbWqFHLkxsg1d,Queen,1,391ScNR3xKywWSpfDwP3n0,1995-11-06,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
I Want To Break Free - Remastered 2011,73,198773,1MsBRSbt5dqJSw3RxXtvCM,1dfeR4HaWDbWqFHLkxsg1d,Queen,1,5RS9xkMuDmeVISqGDBmnSa,1984-02-27,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
Don't Stop Me Now - Remastered 2011,85,209413,5T8EDUDqKcs6OSOwEsfqG7,1dfeR4HaWDbWqFHLkxsg1d,Queen,1,2yuTRGIackbcReLUXOYBqU,1978-11-10,7z8RUxwjKBMSEuLc65i3MF,chill OPM & old songs
