track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0kIr6bvqvBv69IzFdMPUJx,0.692,0.931,7,-2.492,1,0.0442,0.0376,4.55e-06,0.453,0.741,133.067,216607
1eiCMB102OHMkl1Pl6K8Vt,0.551,0.262,10,-16.354,1,0.049,0.626,0.0,0.108,0.442,72.135,258493
4px24lN1Ddu6Y8qN6gi4RZ,0.416,0.509,4,-10.264,1,0.028,0.495,0.00431,0.195,0.467,143.377,249693
5DaPq93UhOAu0b16Nyn1Mz,0.664,0.472,2,-13.575,1,0.175,0.681,0.0,0.0864,0.59,122.142,170640
4LmFbVr0exXOwaaokq8uqQ,0.697,0.546,0,-12.769,1,0.0395,0.0298,0.0646,0.15,0.75,129.18,187000
0cJhOwOBnpyupfqnjz86Vh,0.596,0.792,9,-12.197,1,0.0407,0.0282,0.000152,0.153,0.869,128.57,538493
43R7J80hZhUOfBdybaSuTr,0.572,0.557,3,-12.724,1,0.0628,0.112,3.51e-06,0.142,0.797,127.018,174827
1s4r5fwkBFuFDeUdR1umx7,0.658,0.766,1,-6.541,1,0.184,0.0103,0.729,0.121,0.605,141.519,217133
7ADX1hXl4eB9Qqkjp5bkQy,0.774,0.901,10,-5.676,1,0.0437,0.0241,0.0157,0.0407,0.829,128.372,196560
6u6QRD49NH71kiwNQM1ez7,0.631,0.568,4,-12.701,0,0.117,0.0298,0.000228,0.312,0.845,129.388,197407
0aFiDdVwgFPqvgGimf9KC1,0.623,0.43,1,-13.898,0,0.0428,0.492,0.00146,0.0662,0.343,96.873,216294
17tcPIrHqmEbyBJOFHFozK,0.673,0.365,2,-15.372,1,0.0451,0.584,0.0,0.12,0.297,135.447,165400
5NycldQ4bHsdQtby3iAxvv,0.4,0.441,2,-11.962,0,0.0471,0.35,1.08e-06,0.354,0.386,137.242,160293
2dywXvjLPgbNy9hQQyDtiu,0.334,0.324,4,-11.973,1,0.0305,0.545,8.82e-06,0.335,0.185,78.454,196333
2UaRlpkdtFwzlMjgRMCSde,0.745,0.557,0,-9.661,1,0.0376,0.0178,0.0018,0.116,0.745,129.995,199431
5jpd1HFAcAw5F8XAG9GeXq,0.575,0.229,6,-14.779,1,0.0275,0.375,8.13e-06,0.128,0.135,140.272,268640
5Y8CbBzxyzLiB7SfwuvKrA,0.349,0.2,0,-15.878,1,0.0304,0.922,3.79e-05,0.124,0.169,129.683,204507
5NUC4eoQRqhkrIu8AzSqdL,0.664,0.538,9,-11.359,1,0.0275,0.503,3.07e-06,0.107,0.562,109.027,272973
78wPvkQLvNLzBwcWDJ4G2L,0.481,0.357,0,-15.234,1,0.0288,0.387,6.27e-06,0.0922,0.173,69.873,315373
5wDIxmlDazFI7wZ7UEEY9N,0.567,0.222,4,-14.264,1,0.0258,0.734,2.86e-06,0.172,0.237,97.846,266840
0Q9jC6LNRtrgBRYeq7h4pS,0.479,0.39,4,-9.955,1,0.0277,0.792,0.0,0.099,0.153,82.885,280294
5GhBGo6KpVsdhZHv0dzknO,0.205,0.479,0,-11.446,1,0.0342,0.432,0.0,0.142,0.232,199.591,194840
2liGhh9usqEoZBi1eWVOJK,0.383,0.361,0,-13.243,1,0.0301,0.631,4.54e-06,0.11,0.222,149.905,259507
