name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Fallen,79,201806,4mc3rUoMwwiNTHA4al9nNd,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,1,65mubteFOgv2qZeSWMdNl7,2021-06-25,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Panalangin,52,207337,4d9aHwNs1oYFoXXANb9r2r,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,1,68z8GsaQZCe99Q0B2HZfUG,2013-01-01,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
By My Side ft. Tiara Andini,60,234352,51NAz1GAp82XJ4bXGZa2qR,"['67IN4cLJ7798gUapyZlmac', '0kPb52ySN2k9P6wEZPTUzm']","['Zack Tabudlo', 'Tiara Andini']",2,5iuJcpdpAmd13OpnG7Wp2x,2022-10-28,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Home,53,333622,0dCDBADaqgcQ62LdyRsejn,2JI8ViuZDBybY6Xd9ujUrb,Reese Lansangan,1,2ckgN1jJObKrLisIuVso10,2016-10-29,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Ligaw Tingin,55,256487,12QcuTyW2yumtruHEyUJh6,7mpEg5WV7rNQSLwxxVJ4kk,Zildjian Parma,1,2XBsH0yNuSFrTKNrHS14LG,2022-09-25,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Sunsets With You,64,253913,43t6oyPWJ67nifk7JgDgoI,"['3jjbX9cm5Np3ekAypS71si', '3TrbbmtvHwXSKbBc1tClSV']","['Cliff', 'Yden']",2,2fEfoRUwtHZa6OZ44Mjc6X,2022-02-04,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Bahala Na,62,228688,3FsDo7jplRKAkFzxZ4vbZu,2owtRYReKCG1n2AAS5AcpS,Kenaniah,1,50ZqQAS4Cp2ATe9w1MUHB7,2023-07-07,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Ako'y Tinamaan,47,200826,4AkpzRUJO1EDd5WrwWMWno,6uZjmsQb20mD9kVaEmWMhp,Reo Brothers,1,5xRlf4JYBaPgNs1ugFKGXb,2015-01-19,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
An Art Gallery Could Never Be As Unique As You,77,158677,22Nd3GuO7sHopPjdKccRcq,31fsDbpNPKe346urriO4ma,mrld,1,0FRaoawfqep3bJcCqcQZpD,2019-12-11,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
LDR - Sped Up,68,165427,6bLwOcpjZOL1GuCHBoB4VZ,68URuxUxsFzcPp2y3j0kjW,Shoti,1,43KGg9deOHTDz5MBWPyQGp,2023-05-13,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Maybe Maybe,63,313500,0HAciULA3lNbyp0kCBrJnC,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,1,5eawUz4lU3YG3j79LhubBG,2017-05-16,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Vivid,49,270000,14WzMa1QRDXqsZI2lEZDfv,1CZ6BqSNNDTbyne4SltF0e,Any Name's Okay,1,6HgKv6RnCFgEwl8S91mYtQ,2019-11-21,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Moao,42,245382,5m3LwvrAXhXFlzZ3nxcm5x,2TmqQRA5s51zD2C4zbiqPq,Purples n' Oranges,1,1Irh1AYtaWfuDm6NabCsso,2019-06-15,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
Na Na Na,47,251076,4aqkICleG6HLRc2ygpWqN1,7tNO3vJC9zlHy2IJOx34ga,BINI,1,28rgW6IXDsrk4YtTcFtGGK,2021-10-14,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
For Everything,30,211440,5vmN5FboWGKqb0MZuKfUJa,4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,1,7xq2b0gkMRI47DCek284HB,2012,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
What Is This Feeling?,37,223656,0wUUUDuDxTwC27kE6kw1oL,2JI8ViuZDBybY6Xd9ujUrb,Reese Lansangan,1,39vgyUQqSdYeEF6J7WeSXE,2021-05-30,37i9dQZF1EIhkcT9SIIIOn,Happy OPM Mix
