track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0nbXyq5TXYPCO7pr3N8S4I,The Box,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,52u4anZbHd6UInnmHRFzba,196652,2019-12-06,84,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,5TZkls9cEOzWDR6qCxwDot,HipHop 2021
0nbXyq5TXYPCO7pr3N8S4I,The Box,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,52u4anZbHd6UInnmHRFzba,196652,2019-12-06,84,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
2QIfdakyOOHAPNGZCe0Jwc,LBJ FLOW,6clgRsrhEgl0mg5S0c8CBM,BankShotPain,5KZMv1Uf6W1ZXaqCC2OHiD,147200,2021-11-26,36,0.536,0.8959999999999999,3,-5.103,1,0.384,0.158,0.0,0.114,0.7070000000000001,149.944,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
2QIfdakyOOHAPNGZCe0Jwc,LBJ FLOW,6clgRsrhEgl0mg5S0c8CBM,BankShotPain,5KZMv1Uf6W1ZXaqCC2OHiD,147200,2021-11-26,36,0.536,0.8959999999999999,3,-5.103,1,0.384,0.158,0.0,0.114,0.7070000000000001,149.944,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
2ZRo7axmMPeSVUvDbGkJah,Hope,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2Ti79nwTsont5ZHfdxIzAm,110886,2018-03-16,86,0.5920000000000001,0.457,9,-6.081,0,0.0603,0.6609999999999999,0.000331,0.146,0.225,146.04,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
3i7LdqpXJtkS2N7OehRJ2i,MY ENEMY,63MP1JkmZG4DBVR7fprwNd,HEVAN,6vEHePdSr3IpZNaYPWESbn,138041,2021-10-25,27,0.637,0.5870000000000001,11,-10.514,1,0.072,0.299,1.59e-06,0.0799,0.371,145.96,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
5vGLcdRuSbUhD8ScwsGSdA,Whoopty,7arQA31aZVS8yS6zUveWzb,CJ,5oBYG6dEI2Er6EeLnmonGE,123262,2020-08-20,79,0.7190000000000001,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
5vGLcdRuSbUhD8ScwsGSdA,Whoopty,7arQA31aZVS8yS6zUveWzb,CJ,5oBYG6dEI2Er6EeLnmonGE,123262,2020-08-20,79,0.7190000000000001,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,5TZkls9cEOzWDR6qCxwDot,HipHop 2021
0YTlxK7jINCiK9eqnEFWv4,Toxic,28uiFrTkk7Ik9xvszOG27K,Audii,2KEzjKHj3xEhYmN2X8fNCL,95105,2021-09-25,32,0.484,0.636,9,-9.035,0,0.278,0.177,0.0,0.146,0.644,108.408,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
5lNJyb52Ml3rTAsJyMaSw8,Problems (feat. RayRizzle),0esJDGsfKhM1qiZT2yULuP,Yatta,6cyNrYSavw8ajXlRdwlsZQ,141176,2021-08-06,46,0.747,0.6859999999999999,6,-9.107,0,0.157,0.55,0.0,0.361,0.78,135.945,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
5lNJyb52Ml3rTAsJyMaSw8,Problems (feat. RayRizzle),0esJDGsfKhM1qiZT2yULuP,Yatta,6cyNrYSavw8ajXlRdwlsZQ,141176,2021-08-06,46,0.747,0.6859999999999999,6,-9.107,0,0.157,0.55,0.0,0.361,0.78,135.945,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,7e7t0MCrNDcJZsPwUKjmOc,160000,2020-07-03,84,0.7090000000000001,0.5479999999999999,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.5429999999999999,83.995,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
